node	name	taxa_level	n_descendants	prop_descendants_w_name	other_names	other_props	full_taxonomy	full_taxonomy_levels	habitat	habitat_probability	cellularity	cellularity_probability	genes_present	genes_gained	domains_present	domains_gained	KEGG_pathways_present	KEGG_pathways_gained	Reactome_pathways_present	Reactome_pathways_gained	nodes_in_results
574	Embryophyta	clade	2	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta	no rank, superkingdom, kingdom, phylum, subphylum, clade	Terrestrial	1	Multicellular	1	6983	879	4227	215	71.72666234409019	NA	266.1321997356126	12.982436781399521	n
575	Magnoliopsida	class	16	1	Mesangiospermae	0.9375	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class	Terrestrial	1	Multicellular	1	7293	1617	4111	241	77.56555233072349	5.00263086555594	254.6991933013421	14.07498401112329	y
576	Mesangiospermae	clade	15	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade	Terrestrial	1	Multicellular	1	7481	196	4162	55	77.30538686756138	NA	256.690151415	6.247585037877262	n
577	Liliopsida	clade	4	1	Petrosaviidae, commelinids	0.75, 0.75	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, Liliopsida	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade	Terrestrial	0.99	Multicellular	1	7488	76	4139	6	76.39842409935774	NA	258.25302084224376	5.414098006718745	n
578	commelinids	clade	3	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, Liliopsida, Petrosaviidae, commelinids	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade, subclass, clade	Terrestrial	1	Multicellular	1	7594	153	4138	22	78.54500894050904	2.1465848411512973	259.0795755086402	2.6303925581705903	n
579	Poaceae	family	2	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, Liliopsida, Petrosaviidae, commelinids, Poales, Poaceae	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade, subclass, clade, order, family	Terrestrial	1	Multicellular	1	8875	1370	4195	80	79.71335355107188	1.168344610562841	256.59917752163864	3.51709622930211	n
580	Pentapetalae	clade	11	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade, clade, clade	Terrestrial	1	Multicellular	1	7850	375	4205	48	79.07343798988869	1.7680511223273077	257.1889506941156	0.5725008261979725	n
581	rosids	clade	2	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, rosids	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade, clade, clade, clade	Terrestrial	1	Multicellular	1	8022	195	4213	18	79.16729655179925	0.19073259689341446	259.0121569508197	3.7300107315641355	n
582	Pentapetalae	clade	9	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade, clade, clade	Terrestrial	1	Multicellular	1	8009	162	4227	24	79.76399081761258	0.7113861610572181	257.52476119522333	1.3695214701371659	n
583	asterids	clade	3	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, asterids	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade, clade, clade, clade	Terrestrial	1	Multicellular	1	8063	83	4236	16	79.7768913013648	0.0802998811403797	258.3190809385693	2.419335524169927	n
584	campanulids	clade	2	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, asterids, campanulids	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade, clade, clade, clade, clade	Terrestrial	1	Multicellular	1	8183	177	4229	11	80.10834358615143	0.44741230699781775	259.03522235247993	2.3415851041344373	n
585	rosids	clade	6	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, rosids	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade, clade, clade, clade	Terrestrial	1	Multicellular	1	8189	188	4236	17	80.12997419391306	0.3939422099196954	257.4448839157717	0.2683192820303867	n
586	rosids	clade	5	1	fabids	0.8	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, rosids	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade, clade, clade, clade	Terrestrial	1	Multicellular	1	8221	108	4207	5	79.22853253570868	NA	256.68669017549144	NA	n
587	fabids	clade	2	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, rosids, fabids	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade, clade, clade, clade, clade	Terrestrial	1	Multicellular	1	8270	79	4214	17	77.52480661704949	NA	256.91655312859405	0.43703657227816867	n
588	rosids	clade	3	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, rosids	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade, clade, clade, clade	Terrestrial	1	Multicellular	1	8372	170	4205	13	79.22853253570868	NA	256.59776828443614	0.7872339927320223	n
589	Malpighiales	order	2	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, rosids, fabids, Malpighiales	no rank, superkingdom, kingdom, phylum, subphylum, clade, clade, clade, clade, class, clade, clade, clade, clade, clade, clade, order	Terrestrial	1	Multicellular	1	8603	254	4219	18	79.05278692254026	NA	257.09632758534093	1.9154080142188248	n
590	Eukaryota	superkingdom	157	1	Opisthokonta	0.954838709677419	cellular organisms, Eukaryota	no rank, superkingdom	Aquatic	0.69	Unicellular	0.94	1983	146	2272	103	27.44759626510698	1.613211572605785	199.54064654873844	18.590832847191372	n
591	Eukaryota	superkingdom	3	1	NA	NA	cellular organisms, Eukaryota	no rank, superkingdom	Host-associated	0.55	Unicellular	0.94	1983	197	2109	78	29.89517540784387	2.4475791427368883	188.7854502731109	13.396509189752296	n
